Mean(z_rock_height),species_cat_01
1.08968,Focus Species
3.731002647,Other Species
0.5501618,Other Species
1.211401329,Focus Species
2.150000001,Focus Species
1.90005971,Other Species
2.722013973,Focus Species
3.805067138,Focus Species
2.721601558,Focus Species
0.583732,Focus Species
2.78011669,Focus Species
1.749395464,Other Species
2.01838,Focus Species
2.69252,Other Species
0.87,Other Species
3.3825,Focus Species
2.78999,Focus Species
1.08017,Other Species
2.897992022,Focus Species
2.3,Focus Species
1.2251,Focus Species
2.234648792,Other Species
3.557240209,Other Species
1.27096,Other Species
2.11167,Focus Species
2.095480588,Focus Species
0.705,Focus Species
1.89888,Other Species
1.601953927,Other Species
3.16338287,Focus Species
3.870146748,Other Species
0.8421849,Other Species
2.92667,Focus Species
2.829999997,Focus Species
2.1001542,Other Species
1.994147943,Other Species
2.547153492,Other Species
1.42942232,Other Species
1.14842,Focus Species
1.80965213,Other Species
2.75999,Focus Species
3.648948451,Focus Species
0.3538743,Focus Species
0.4843,Focus Species
0.956672095,Other Species
1.27096,Other Species
1.37458,Focus Species
3.157986945,Focus Species
1.53996314,Other Species
1.04,Focus Species
0.796615636,Other Species
1.18,Focus Species
2.378061218,Focus Species
-0.145,Focus Species
3.036824804,Other Species
0.5362626,Other Species
1.42359,Focus Species
1.77868099,Focus Species
3.22201195,Focus Species
-0.0777,Focus Species
2.452499999,Focus Species
1.10804,Other Species
3.713938151,Other Species
3.606409699,Focus Species
1.896657956,Focus Species
0.962376831,Other Species
2.254079409,Focus Species
1.58240558,Focus Species
0.70993224,Focus Species
0.3289468,Other Species
1.08783,Other Species
1.98241,Other Species
2.92667,Focus Species
2.94611056,Other Species
1.329349903,Other Species
2.119995204,Focus Species
1.21281515,Other Species
3.05005885,Focus Species
0.851345949,Other Species
0.5902,Focus Species
3.660000001,Other Species
2.490000001,Focus Species
2.521225626,Other Species
2.08431232,Other Species
2.000028591,Other Species
1.13520648,Other Species
1.209095239,Other Species
2.976550864,Focus Species
2.429968578,Other Species
-0.3067256,Other Species
3.659037343,Focus Species
1.75,Focus Species
2.248544111,Focus Species
2.6449,Other Species
1.2,Other Species
3.486377945,Other Species
3.130686545,Other Species
2.54667,Focus Species
3.116201308,Focus Species
1.54933149,Other Species
2.28947,Other Species
1.65212905,Other Species
2.185,Focus Species
1.636414622,Focus Species
2.889999996,Focus Species
1.26,Other Species
1.254407052,Other Species
1.356691,Other Species
1.39,Focus Species
0.7832309,Other Species
1.567856278,Focus Species
2.725648785,Other Species
1.46305926,Other Species
2.78667,Focus Species
2.789598371,Focus Species
1.07598,Focus Species
2.867905008,Focus Species
0.8179402,Other Species
1.09323865,Focus Species
2.550356236,Other Species
1.38020084,Other Species
1.032499999,Focus Species
1.12206197,Other Species
0.761,Focus Species
0.6419109,Focus Species
0.31,Other Species
1.35025568,Focus Species
3.08173787,Other Species
1.979999998,Focus Species
1.01993,Other Species
1.68217318,Other Species
2.984971186,Focus Species
0.3599795,Other Species
2.91832,Focus Species
3.16338287,Focus Species
0.2401118,Other Species
3.865186234,Other Species
2.92168,Focus Species
1.40511,Other Species
1.83505169,Other Species
1.740000002,Other Species
1.93304,Focus Species
1.82996342,Other Species
1.07496,Other Species
1.09285667,Other Species
2.503035222,Focus Species
3.128180812,Other Species
1.17979,Other Species
2.36237073,Focus Species
2.07765944,Other Species
2.05005,Focus Species
1.80513695,Other Species
2.39401037,Other Species
2.840000001,Other Species
0.696829,Other Species
0.968109129,Other Species
2.68,Other Species
2.0651896,Other Species
2.290000001,Other Species
1.59035144,Other Species
1.91503456,Other Species
2.90159,Focus Species
3.2625,Other Species
0.26,Other Species
2.180088249,Focus Species
0.481379499,Other Species
3.291866567,Focus Species
3.836681522,Focus Species
1.02466061,Other Species
0.399999999,Other Species
0.3,Other Species
2.729999998,Focus Species
2.500000002,Focus Species
3.739706688,Other Species
2.041030178,Other Species
2.53667,Focus Species
2.93667,Focus Species
2.75999,Focus Species
0.70993224,Focus Species
1.94250665,Other Species
2.310233654,Focus Species
1.29,Focus Species
1.72921,Other Species
0.6938662,Focus Species
1.54482347,Other Species
2.560056506,Focus Species
1.17757,Focus Species
1.54449851,Other Species
0.640088,Other Species
2.566555272,Focus Species
0.26,Other Species
1.1,Other Species
2.277624575,Focus Species
2.61667,Other Species
1.61502061,Other Species
1.49588561,Other Species
0.26,Focus Species
2.67891,Focus Species
-0.015,Other Species
1.964903298,Focus Species
0.8179402,Other Species
3.250000003,Focus Species
2.9691,Other Species
1.75,Other Species
3.03773,Other Species
2.55,Other Species
3.84639588,Focus Species
0.2438257,Other Species
2.107226225,Focus Species
1.67667,Focus Species
2.492379463,Focus Species
3.647477396,Other Species
1.05985,Other Species
1.978966726,Focus Species
1.295,Other Species
2.41,Other Species
1.86509668,Other Species
1.09776,Focus Species
1.13834,Focus Species
1.804250167,Other Species
0.7401,Other Species
2.950991247,Focus Species
1.23273264,Other Species
-0.3289,Focus Species
0.71,Other Species
0.99982425,Other Species
1.07285,Focus Species
2.93258,Focus Species
1.26,Other Species
3.771033781,Other Species
2.5,Other Species
4.36530525,Other Species
1.15449803,Focus Species
2.53,Other Species
0.54,Other Species
1.774855281,Other Species
0.5291,Focus Species
0.44,Focus Species
-0.2565678,Other Species
2.720026232,Focus Species
0.894311314,Focus Species
1.69074092,Other Species
2.36,Other Species
1.083005884,Other Species
1.212697858,Focus Species
2.156335779,Focus Species
1.1414808,Other Species
1.631751578,Other Species
3.962041296,Other Species
1.505656056,Other Species
2.487836948,Focus Species
1.5,Focus Species
1.909999999,Other Species
1.93378544,Other Species
0.6670445,Other Species
3.651579524,Other Species
2.05667,Focus Species
1.90499235,Other Species
1.70495812,Other Species
0.945,Focus Species
0.939999999,Other Species
0.7695823,Other Species
0.752996881,Other Species
1.12,Other Species
0.175,Other Species
3.26995,Other Species
1.5467,Focus Species
-0.2243668,Other Species
1.777890761,Focus Species
2.327029521,Focus Species
3.769999998,Other Species
1.41,Other Species
2.004799976,Focus Species
2.58809572,Other Species
-0.2363809,Other Species
1.49,Other Species
2.937696614,Focus Species
2.47,Other Species
3.12667,Other Species
1.87495502,Other Species
2.860000007,Focus Species
1.23292529,Focus Species
2.5167,Other Species
1.955965557,Other Species
1.90990298,Other Species
1.732105637,Other Species
0.6448,Other Species
0.87412584,Other Species
3.359736075,Other Species
2.299999997,Focus Species
1.249999999,Other Species
0.880000002,Focus Species
1.06626242,Focus Species
3.17691,Other Species
3.552537375,Focus Species
2.11057773,Focus Species
1.42082726,Other Species
3.227432319,Other Species
2.75999,Focus Species
0.0323938,Other Species
0.879724452,Other Species
2.58809572,Other Species
1.71214855,Other Species
1.87499342,Focus Species
0.4386,Focus Species
1.78759374,Other Species
1.29,Focus Species
0.5471405,Focus Species
2.20020186,Other Species
2.000000005,Focus Species
2.339967329,Other Species
0.81,Focus Species
0.46,Other Species
3.670000003,Focus Species
1.90521198,Other Species
1.187138219,Other Species
0.2222,Focus Species
0.685827,Focus Species
1.769915827,Focus Species
2.938250066,Other Species
2.71506024,Other Species
1.80995371,Other Species
-0.265,Focus Species
1.66667,Other Species
1.51740869,Other Species
1.75,Focus Species
2.3,Focus Species
3.04667,Focus Species
2.797577351,Focus Species
1.27502,Other Species
1.232960823,Focus Species
3.032404789,Other Species
1.8696652,Focus Species
1.3234,Focus Species
0.554942,Focus Species
1.07498279,Focus Species
2.24667,Focus Species
2.778401638,Focus Species
1.22734386,Focus Species
0.83,Other Species
2.616885339,Focus Species
2.88675,Other Species
2.098167451,Focus Species
2.92630857,Focus Species
